image_a,feature_a,image_b,feature_b
1,1,2,2
2,2,3,3
3,3,4,4
4,4,6,6
6,6,7,7
0,10,1,11
1,11,2,12
2,12,3,13
3,13,5,15
5,15,6,16
6,16,7,17
0,20,1,21
1,21,2,22
2,22,4,24
4,24,5,25
5,25,6,26
6,26,7,27
0,30,1,31
1,31,3,33
3,33,4,34
4,34,5,35
5,35,6,36
0,40,2,42
2,42,3,43
3,43,4,44
4,44,5,45
5,45,7,47
1,51,2,52
2,52,3,53
3,53,4,54
4,54,6,56
6,56,7,57
0,60,1,61
1,61,2,62
2,62,3,63
3,63,5,65
5,65,6,66
6,66,7,67
0,70,1,71
1,71,2,72
2,72,4,74
4,74,5,75
5,75,6,76
6,76,7,77
0,80,1,81
1,81,3,83
3,83,4,84
4,84,5,85
5,85,6,86
0,90,2,92
2,92,3,93
3,93,4,94
4,94,5,95
5,95,7,97
1,101,2,102
2,102,3,103
3,103,4,104
4,104,6,106
6,106,7,107
0,110,1,111
1,111,2,112
2,112,3,113
3,113,5,115
5,115,6,116
6,116,7,117
0,120,1,121
1,121,2,122
2,122,4,124
4,124,5,125
5,125,6,126
6,126,7,127
0,130,1,131
1,131,3,133
3,133,4,134
4,134,5,135
5,135,6,136
0,140,2,142
2,142,3,143
3,143,4,144
4,144,5,145
5,145,7,147
1,151,2,152
2,152,3,153
3,153,4,154
4,154,6,156
6,156,7,157
1,1,2,2
0,900,1,901
1,901,0,902
